sku,title,description,price,product_url,image_url
SKU: MPB-143,soft touch tactile pushbutton spst,,$0.25,https://aretronics.com/collections/all/products/soft-touch-tactile-pushbutton-spst,https://aretronics.com/cdn/shop/files/logo_81277056-8dab-4827-94a0-248a4ca0dbcb.png?v=1679085406
SKU: 8210,10 ring terminal blue,,$0.10,https://aretronics.com/collections/all/products/10-ring-terminal-blue,https://aretronics.com/cdn/shop/files/logo_81277056-8dab-4827-94a0-248a4ca0dbcb.png?v=1679085406
SKU: 8110,10 ring terminal red,,$0.09,https://aretronics.com/collections/all/products/10-ring-terminal-red,https://aretronics.com/cdn/shop/files/logo_81277056-8dab-4827-94a0-248a4ca0dbcb.png?v=1679085406
SKU: 8310,10 ring terminal yellow,,$0.16,https://aretronics.com/collections/all/products/10-ring-terminal-yellow,https://aretronics.com/cdn/shop/files/logo_81277056-8dab-4827-94a0-248a4ca0dbcb.png?v=1679085406
SKU: 9210,10 spade terminal blue,,$0.11,https://aretronics.com/collections/all/products/10-spade-terminal-blue,https://aretronics.com/cdn/shop/files/logo_81277056-8dab-4827-94a0-248a4ca0dbcb.png?v=1679085406
SKU: 9110,10 spade terminal red,,$0.10,https://aretronics.com/collections/all/products/10-spade-terminal-red,https://aretronics.com/cdn/shop/files/logo_81277056-8dab-4827-94a0-248a4ca0dbcb.png?v=1679085406
SKU: 9310,10 spade terminal yellow,,$0.16,https://aretronics.com/collections/all/products/10-spade-terminal-yellow,https://aretronics.com/cdn/shop/files/logo_81277056-8dab-4827-94a0-248a4ca0dbcb.png?v=1679085406
SKU: 9104,4 spade terminal red,,$0.08,https://aretronics.com/collections/all/products/4-spade-terminal-red,https://aretronics.com/cdn/shop/files/logo_81277056-8dab-4827-94a0-248a4ca0dbcb.png?v=1679085406
SKU: 8206,6 ring terminal blue,,$0.09,https://aretronics.com/collections/all/products/6-ring-terminal-blue,https://aretronics.com/cdn/shop/files/logo_81277056-8dab-4827-94a0-248a4ca0dbcb.png?v=1679085406
SKU: 8106,6 ring terminal red,,$0.08,https://aretronics.com/collections/all/products/6-ring-terminal-red,https://aretronics.com/cdn/shop/files/logo_81277056-8dab-4827-94a0-248a4ca0dbcb.png?v=1679085406
SKU: 9206,6 spade terminal blue,,$0.10,https://aretronics.com/collections/all/products/6-spade-terminal-blue,https://aretronics.com/cdn/shop/files/logo_81277056-8dab-4827-94a0-248a4ca0dbcb.png?v=1679085406
